heart_rate,sdnn,rmssd,pnn50,hrv_range,num_peaks,filename,record_id
47.57242556609931,489.73793568308974,815.7566812248385,91.55672823218998,1688.0,380,bidmc01.dat,bidmc01
91.28803668195081,93.71101416198314,150.26604664282132,46.02739726027397,640.0,731,bidmc02.dat,bidmc02
62.09313970956435,338.7981313072953,450.8445049867722,91.93548387096774,1760.0,497,bidmc03.dat,bidmc03
40.217172732756886,442.90855715373124,564.1293344226241,89.0625,2096.0,321,bidmc04.dat,bidmc04
33.94175211248789,879.0777725268301,1327.1002753148464,97.41697416974169,5912.0,272,bidmc05.dat,bidmc05
43.65919970643671,358.57543867203253,499.6942513453464,90.83094555873924,1752.0,350,bidmc06.dat,bidmc06
47.77070063694268,366.9307757952742,521.4296137593866,93.1758530183727,1576.0,382,bidmc07.dat,bidmc07
42.711134120476295,225.76429571837556,326.5799965056756,89.44281524926686,1520.0,342,bidmc08.dat,bidmc08
40.373138071116905,220.2235029822409,361.58019409271384,85.40372670807453,1360.0,323,bidmc09.dat,bidmc09
40.71321195924503,364.2697693359566,500.1003356117774,88.92307692307693,1976.0,326,bidmc10.dat,bidmc10
92.86645277722079,22.624975196487767,17.21846902821722,1.6194331983805668,168.0,742,bidmc11.dat,bidmc11
43.229471222120125,379.6634926535,491.9444097919819,91.30434782608695,1776.0,346,bidmc12.dat,bidmc12
66.98217147435896,105.88233087708431,152.35440646249563,29.719626168224302,1400.0,536,bidmc13.dat,bidmc13
51.51494894463293,427.6499937345361,492.8619853319648,82.9683698296837,2056.0,412,bidmc14.dat,bidmc14
49.02780332034842,427.4546793455513,570.2574137604157,91.30434782608695,2400.0,392,bidmc15.dat,bidmc15
57.12090591752543,334.3471963498225,480.34522384003577,88.81578947368422,1616.0,457,bidmc16.dat,bidmc16
50.78582176893496,317.3446052414348,425.80374785007274,86.91358024691358,1920.0,406,bidmc17.dat,bidmc17
90.12918516540374,6.373982610659341,7.5536099743069824,0.0,48.0,721,bidmc18.dat,bidmc18
66.68672282390695,229.53064656287657,320.14723543090133,62.96992481203007,1456.0,533,bidmc19.dat,bidmc19
