vessel_density,vessel_area,mean_intensity,std_intensity,max_intensity,min_intensity,filename
0.1418304443359375,0.1418304443359375,0.5054825128293505,0.2879284646453093,1.0,0.0,im0001.ppm
0.1437835693359375,0.1437835693359375,0.5042706657858456,0.2875809838201729,1.0,0.0,im0002.ppm
0.1442718505859375,0.1442718505859375,0.5063270120059743,0.28861194618273095,1.0,0.0,im0003.ppm
0.1373291015625,0.1373291015625,0.5055223651960784,0.28940462775896536,1.0,0.0,im0004.ppm
0.1436004638671875,0.1436004638671875,0.5054135790058211,0.28807531332712094,1.0,0.0,im0005.ppm
0.145050048828125,0.145050048828125,0.5037969851026348,0.2881449491720039,1.0,0.0,im0044.ppm
0.1477203369140625,0.1477203369140625,0.5047137092141544,0.2885920796989032,1.0,0.0,im0077.ppm
0.1417083740234375,0.1417083740234375,0.5051894244025735,0.28835849654275364,1.0,0.0,im0081.ppm
0.142608642578125,0.142608642578125,0.5052593156403187,0.28880611540331524,1.0,0.0,im0082.ppm
0.1398162841796875,0.1398162841796875,0.5074467677696078,0.2895384357093563,1.0,0.0,im0139.ppm
0.14752197265625,0.14752197265625,0.5064368752872243,0.28808508285435735,1.0,0.0,im0162.ppm
0.1480560302734375,0.1480560302734375,0.5061681410845589,0.28767519828866306,1.0,0.0,im0163.ppm
0.14825439453125,0.14825439453125,0.504707426183364,0.28720126551294084,1.0,0.0,im0235.ppm
0.1470489501953125,0.1470489501953125,0.5046508190678615,0.28735964200129854,1.0,0.0,im0236.ppm
0.129608154296875,0.129608154296875,0.5059955073337928,0.2898136930679478,1.0,0.0,im0239.ppm
0.1494293212890625,0.1494293212890625,0.5052877388748468,0.2893201619798125,1.0,0.0,im0240.ppm
0.1462249755859375,0.1462249755859375,0.5071281283509498,0.28841937855968297,1.0,0.0,im0255.ppm
0.14959716796875,0.14959716796875,0.5046897140203738,0.2880703231602191,1.0,0.0,im0291.ppm
0.1361083984375,0.1361083984375,0.5060804778454351,0.2896137111948628,1.0,0.0,im0319.ppm
0.1345672607421875,0.1345672607421875,0.5057303634344363,0.2897709660693545,1.0,0.0,im0324.ppm
